Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min)
2568-07-29 17:47:05 - 2568-07-29 18:11:55,249.597,Running,4.373,1490.000,0.000,0.667,0.333,0.000,0.000,131.333,141.000
2568-07-29 18:25:40 - 2568-07-29 18:30:05,76.864,Running,1.218,265.000,0.000,0.000,1.000,0.000,0.000,147.000,147.000
2568-07-29 18:34:14 - 2568-07-29 18:38:37,74.753,Running,1.219,263.000,,,,,,,
2568-07-29 18:44:06 - 2568-07-29 18:48:26,77.174,Running,1.219,260.000,,,,,,,
2568-07-29 18:56:06 - 2568-07-29 19:00:24,77.827,Running,1.216,258.000,0.000,0.000,1.000,0.000,0.000,148.000,148.000
2568-07-29 19:09:16 - 2568-07-29 19:10:38,22.919,Running,0.422,82.000,0.000,0.000,1.000,0.000,0.000,138.000,138.000
2568-07-29 19:17:20 - 2568-07-29 19:25:45,77.152,Running,1.175,505.000,0.000,1.000,0.000,0.000,0.000,134.000,134.000
2568-07-30 19:56:04 - 2568-07-30 20:17:09,156.255,Running (Indoor),4.213,1265.000,0.000,0.500,0.500,0.000,0.000,130.000,142.000
2568-07-31 18:04:05 - 2568-07-31 18:20:11,172.615,Running,3.044,966.000,0.000,0.500,0.500,0.000,0.000,138.500,145.000
2568-07-31 18:28:22 - 2568-07-31 18:29:39,20.557,Running,0.416,77.000,,,,,,,
2568-07-31 18:31:03 - 2568-07-31 18:32:21,19.667,Running,0.418,78.000,,,,,,,
2568-07-31 18:34:00 - 2568-07-31 18:35:19,17.760,Running,0.415,79.000,,,,,,,
2568-07-31 18:36:44 - 2568-07-31 18:38:03,19.014,Running,0.423,79.000,,,,,,,
2568-07-31 18:39:49 - 2568-07-31 18:41:07,18.230,Running,0.422,78.000,0.000,0.000,1.000,0.000,0.000,151.000,151.000
2568-07-31 18:42:47 - 2568-07-31 18:44:05,20.246,Running,0.423,78.000,,,,,,,
2568-07-31 18:45:48 - 2568-07-31 18:47:07,20.194,Running,0.423,79.000,,,,,,,
2568-07-31 18:48:46 - 2568-07-31 18:50:04,21.639,Running,0.421,78.000,0.000,0.000,1.000,0.000,0.000,148.000,148.000
2568-07-31 18:52:07 - 2568-07-31 18:53:26,19.805,Running,0.424,79.000,,,,,,,
2568-07-31 18:55:12 - 2568-07-31 18:56:29,20.930,Running,0.418,77.000,,,,,,,
2568-07-31 18:58:14 - 2568-07-31 18:59:33,21.526,Running,0.418,79.000,,,,,,,
2568-07-31 19:01:48 - 2568-07-31 19:03:08,23.022,Running,0.418,80.000,,,,,,,
2568-07-31 19:04:49 - 2568-07-31 19:06:09,22.398,Running,0.426,80.000,,,,,,,
2568-07-31 19:08:26 - 2568-07-31 19:09:47,22.943,Running,0.424,81.000,,,,,,,
2568-07-31 19:13:00 - 2568-07-31 19:14:20,22.434,Running,0.423,80.000,,,,,,,
2568-07-31 19:16:53 - 2568-07-31 19:18:02,19.255,Running,0.410,69.000,,,,,,,
2568-07-31 19:23:34 - 2568-07-31 19:28:45,45.624,Running,0.674,311.000,,,,,,,
